Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Max Aarons,ENG,['DF'],Bournemouth,23,2000,20,13,"1,237",13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,2023-2024
Joshua Acheampong,ENG,['DF'],Chelsea,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Tyler Adams,USA,['MF'],Bournemouth,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2023-2024
Tosin Adarabioyo,ENG,['DF'],Fulham,25,1997,20,18,"1,617",18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,2023-2024
Elijah Adebayo,ENG,['FW'],Luton Town,25,1998,27,16,"1,419",15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,2023-2024
Simon Adingra,CIV,['FW'],Brighton,21,2002,31,25,"2,222",24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,2023-2024
Nayef Aguerd,MAR,['DF'],West Ham,27,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,2023-2024
Brandon Aguilera,CRC,['FW'],Nott'ham Forest,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Naouirou Ahamada,FRA,"['MF', 'FW']",Crystal Palace,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0.0,0.5,2023-2024
Anel Ahmedhodžić,BIH,['DF'],Sheffield Utd,24,1999,31,29,"2,649",29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4.0,2023-2024
Ola Aina,NGA,['DF'],Nott'ham Forest,26,1996,22,20,"1,692",18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,2023-2024
Rayan Aït-Nouri,ALG,"['DF', 'MF']",Wolves,22,2001,33,29,"2,329",25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,2023-2024
Kristoffer Ajer,NOR,['DF'],Brentford,25,1998,28,21,"1,832",20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,2023-2024
Manuel Akanji,SUI,"['DF', 'MF']",Manchester City,28,1995,30,28,"2,511",27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,2023-2024
Nathan Aké,NED,['DF'],Manchester City,28,1995,29,24,"2,042",22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,2023-2024
Thiago Alcántara,ESP,['MF'],Liverpool,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Trent Alexander-Arnold,ENG,['DF'],Liverpool,24,1998,28,25,"2,155",23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,2023-2024
Alisson,BRA,['GK'],Liverpool,30,1992,28,28,"2,520",28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Miguel Almirón,PAR,['FW'],Newcastle Utd,29,1994,33,23,"1,937",21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,2023-2024
Edson Álvarez,MEX,['MF'],West Ham,25,1997,31,28,"2,377",26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,2023-2024
Julián Álvarez,ARG,"['MF', 'FW']",Manchester City,23,2000,36,31,"2,647",29.4,11,8,19,9,2,2,2,0,13.0,11.5,6.4,17.9,2023-2024
Zeki Amdouni,SUI,['FW'],Burnley,22,2000,34,27,"1,953",21.7,5,1,6,4,1,1,2,0,5.8,5.0,1.4,6.5,2023-2024
Sofyan Amrabat,MAR,"['MF', 'DF']",Manchester Utd,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,2023-2024
Joachim Andersen,DEN,['DF'],Crystal Palace,27,1996,38,38,"3,415",37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,2023-2024
Elliot Anderson,ENG,"['MF', 'FW']",Newcastle Utd,20,2002,21,10,"1,027",11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,2023-2024
Jaidon Anthony,ENG,['FW'],Bournemouth,23,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2023-2024
Michail Antonio,JAM,['FW'],West Ham,33,1990,26,21,"1,695",18.8,6,2,8,6,0,0,6,0,5.8,5.8,0.9,6.7,2023-2024
Antony,BRA,['FW'],Manchester Utd,23,2000,29,15,"1,324",14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,2023-2024
Oliver Arblaster,ENG,['MF'],Sheffield Utd,19,2004,12,11,943,10.5,0,0,0,0,0,0,2,0,0.0,0.0,0.8,0.8,2023-2024
Cameron Archer,ENG,"['FW', 'MF']",Sheffield Utd,22,2001,29,21,"1,832",20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,2023-2024
Cameron Archer,ENG,['MF'],Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Alphonse Areola,FRA,['GK'],West Ham,30,1993,31,31,"2,699",30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Lorenz Assignon,TOG,['DF'],Burnley,23,2000,15,15,"1,234",13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3.0,2023-2024
Serge Aurier,CIV,"['DF', 'MF']",Nott'ham Forest,30,1992,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,2023-2024
Taiwo Awoniyi,NGA,['FW'],Nott'ham Forest,25,1997,20,12,"1,042",11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,2023-2024
Jordan Ayew,GHA,"['FW', 'MF']",Crystal Palace,31,1991,35,30,"2,543",28.3,4,7,11,4,0,0,9,1,3.9,3.9,4.2,8.1,2023-2024
Benoît Badiashile,FRA,['DF'],Chelsea,22,2001,18,15,"1,338",14.9,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.8,2023-2024
Leon Bailey,JAM,"['MF', 'FW']",Aston Villa,25,1997,35,22,"2,068",23.0,10,9,19,10,0,0,5,0,6.3,6.3,9.2,15.5,2023-2024
Stefan Bajcetic,ESP,['MF'],Liverpool,18,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
George Baldock,GRE,['DF'],Sheffield Utd,30,1993,13,11,969,10.8,0,1,1,0,0,0,4,0,0.0,0.0,0.8,0.8,2023-2024
Carlos Baleba,CMR,['MF'],Brighton,19,2004,27,15,"1,325",14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,2023-2024
Fodé Ballo-Touré,SEN,"['DF', 'MF']",Fulham,26,1997,6,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Shandon Baptiste,GRN,['MF'],Brentford,25,1998,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,2023-2024
Valentín Barco,ARG,"['DF', 'FW']",Brighton,19,2004,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2023-2024
Ross Barkley,ENG,['MF'],Luton Town,29,1993,32,30,"2,618",29.1,5,4,9,5,0,0,6,0,4.1,4.1,3.7,7.9,2023-2024
Harvey Barnes,ENG,"['FW', 'MF']",Newcastle Utd,25,1997,21,7,802,8.9,5,3,8,5,0,0,2,0,3.6,3.6,3.2,6.8,2023-2024
Chris Basham,ENG,"['DF', 'MF']",Sheffield Utd,35,1988,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,2023-2024
Calvin Bassey,NGA,['DF'],Fulham,23,1999,29,25,"2,303",25.6,1,0,1,1,0,0,6,1,0.3,0.3,0.0,0.4,2023-2024
Owen Beck,WAL,['DF'],Liverpool,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Donny van de Beek,NED,['DF'],Manchester Utd,26,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2023-2024
Amari'i Bell,JAM,['DF'],Luton Town,29,1994,21,21,"1,720",19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,2023-2024
Jean-Ricner Bellegarde,HAI,"['MF', 'FW']",Wolves,25,1998,22,10,958,10.6,2,1,3,2,0,0,0,1,1.6,1.6,1.0,2.5,2023-2024
Anis Ben Slimane,TUN,['MF'],Sheffield Utd,22,2001,15,4,419,4.7,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,2023-2024
Saïd Benrahma,ALG,"['FW', 'MF']",West Ham,27,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1.0,1.4,2.5,2023-2024
Rodrigo Bentancur,URU,['MF'],Tottenham,26,1997,23,13,"1,005",11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,2023-2024
Daniel Bentley,ENG,['GK'],Wolves,30,1993,5,3,383,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Jóhann Berg Guðmundsson,ISL,"['MF', 'FW']",Burnley,32,1990,26,12,"1,192",13.2,1,3,4,1,0,0,2,0,1.9,1.9,2.7,4.5,2023-2024
Sander Berge,NOR,['MF'],Burnley,25,1998,37,34,"3,005",33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,2023-2024
Luke Berry,ENG,"['MF', 'DF']",Luton Town,31,1992,17,2,323,3.6,2,1,3,2,0,0,1,0,1.0,1.0,0.3,1.3,2023-2024
Beto,GNB,['FW'],Everton,25,1998,30,9,951,10.6,3,0,3,3,0,1,2,0,6.8,6.0,0.9,6.9,2023-2024
Jordan Beyer,GER,['DF'],Burnley,23,2000,15,15,"1,234",13.7,0,1,1,0,0,0,6,0,0.5,0.5,0.3,0.8,2023-2024
Philip Billing,DEN,['MF'],Bournemouth,27,1996,29,13,"1,398",15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,2023-2024
Yves Bissouma,MLI,['MF'],Tottenham,26,1996,28,26,"2,068",23.0,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,2023-2024
Benicio Boaitey,ENG,"['FW', 'DF']",Brighton,19,2004,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2023-2024
Oscar Bobb,NOR,"['FW', 'MF']",Manchester City,20,2003,14,2,302,3.4,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.6,2023-2024
Jayden Bogle,ENG,['DF'],Sheffield Utd,23,2000,34,32,"2,788",31.0,3,0,3,3,0,0,9,0,2.3,2.3,1.0,3.3,2023-2024
Willy Boly,CIV,['DF'],Nott'ham Forest,32,1991,20,18,"1,438",16.0,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,2023-2024
Sven Botman,NED,['DF'],Newcastle Utd,23,2000,17,15,"1,377",15.3,2,2,4,2,0,0,2,0,0.6,0.6,1.0,1.6,2023-2024
Jarrod Bowen,ENG,['FW'],West Ham,26,1996,34,34,"3,019",33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,2023-2024
Conor Bradley,NIR,['DF'],Liverpool,20,2003,11,10,753,8.4,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,2023-2024
Jarrad Branthwaite,ENG,['DF'],Everton,21,2002,35,35,"3,116",34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2023-2024
Ben Brereton,CHI,"['FW', 'MF']",Sheffield Utd,24,1999,14,14,"1,105",12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,2023-2024
Rhian Brewster,ENG,"['FW', 'MF']",Sheffield Utd,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,2023-2024
Armando Broja,ALB,['FW'],Chelsea,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,2023-2024
Armando Broja,ALB,['FW'],Fulham,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2023-2024
Andre Brooks,ENG,"['MF', 'DF']",Sheffield Utd,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,2023-2024
David Brooks,WAL,"['FW', 'MF']",Bournemouth,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,2023-2024
Jacob Brown,SCO,"['MF', 'FW']",Luton Town,25,1998,19,12,"1,019",11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,2023-2024
Josh Brownhill,ENG,['MF'],Burnley,27,1995,33,23,"2,252",25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,2023-2024
Jacob Bruun Larsen,DEN,"['MF', 'FW']",Burnley,24,1998,32,16,"1,249",13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,2023-2024
Hugo Bueno,ESP,"['DF', 'MF']",Wolves,20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,2023-2024
Santiago Bueno,URU,['DF'],Wolves,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2023-2024
Facundo Buonanotte,ARG,"['FW', 'MF']",Brighton,18,2004,27,17,"1,364",15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,2023-2024
Reece Burke,ENG,['DF'],Luton Town,26,1996,22,20,"1,660",18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,2023-2024
Dan Burn,ENG,['DF'],Newcastle Utd,31,1992,33,32,"2,726",30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,2023-2024
Mason Burstow,ENG,['FW'],Chelsea,19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Moisés Caicedo,ECU,['MF'],Chelsea,21,2001,35,33,"2,866",31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,2023-2024
Tom Cairney,SCO,['MF'],Fulham,32,1991,34,14,"1,488",16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,2023-2024
Dominic Calvert-Lewin,ENG,['FW'],Everton,26,1997,32,26,"2,171",24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,2023-2024
Thomas Cannon,IRL,['FW'],Everton,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Diego Carlos,BRA,['DF'],Aston Villa,30,1993,27,20,"1,816",20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,2023-2024
Cesare Casadei,ITA,"['FW', 'MF']",Chelsea,20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2023-2024
Casemiro,BRA,"['MF', 'DF']",Manchester Utd,31,1992,25,24,"1,982",22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,2023-2024
Kaelan Casey,ENG,['DF'],West Ham,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Matty Cash,POL,['DF'],Aston Villa,25,1997,29,23,"2,142",23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,2023-2024
Timothy Castagne,BEL,['DF'],Fulham,27,1995,34,29,"2,634",29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,2023-2024
Jonny Castro,ESP,['MF'],Wolves,29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Trevoh Chalobah,ENG,['DF'],Chelsea,24,1999,13,10,952,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,2023-2024
Calum Chambers,ENG,"['MF', 'DF']",Aston Villa,28,1995,5,1,152,1.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,2023-2024
Youssef Chermiti,POR,['FW'],Everton,19,2004,18,1,208,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,2023-2024
Ben Chilwell,ENG,['DF'],Chelsea,26,1996,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,2023-2024
Tawanda Chirewa,ZIM,"['MF', 'FW']",Wolves,19,2003,8,1,145,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2023-2024
Leon Chiwome,ENG,['FW'],Wolves,17,2006,3,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Tahith Chong,CUW,"['MF', 'FW']",Luton Town,23,1999,33,20,"1,982",22.0,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,2023-2024
Ryan Christie,SCO,['MF'],Bournemouth,28,1995,37,35,"2,907",32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,2023-2024
Carney Chukwuemeka,ENG,"['MF', 'FW']",Chelsea,19,2003,9,2,227,2.5,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,2023-2024
Bobby Clark,ENG,['MF'],Liverpool,18,2005,5,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Jordan Clark,ENG,['MF'],Luton Town,29,1993,23,14,"1,304",14.5,1,1,2,1,0,0,4,0,1.0,1.0,1.3,2.2,2023-2024
Nathaniel Clyne,ENG,['DF'],Crystal Palace,32,1991,19,14,"1,338",14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2023-2024
Séamus Coleman,IRL,['DF'],Everton,34,1988,12,7,665,7.4,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,2023-2024
Nathan Collins,IRL,['DF'],Brentford,22,2001,32,29,"2,652",29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,2023-2024
Levi Colwill,ENG,['DF'],Chelsea,20,2003,23,20,"1,797",20.0,1,1,2,1,0,0,2,0,1.3,1.3,1.2,2.5,2023-2024
Lewis Cook,ENG,['MF'],Bournemouth,26,1997,33,32,"2,786",31.0,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,2023-2024
Jack Cork,ENG,['MF'],Burnley,34,1989,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Maxwel Cornet,CIV,"['MF', 'FW']",West Ham,26,1996,7,1,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,2023-2024
Vladimír Coufal,CZE,['DF'],West Ham,30,1992,36,36,"3,132",34.8,0,7,7,0,0,0,7,1,0.3,0.3,4.0,4.3,2023-2024
Philippe Coutinho,BRA,"['MF', 'FW']",Aston Villa,31,1992,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Aaron Cresswell,ENG,"['DF', 'FW']",West Ham,33,1989,11,4,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2023-2024
Marc Cucurella,ESP,['DF'],Chelsea,25,1998,21,20,"1,782",19.8,0,2,2,0,0,0,10,0,1.1,1.1,1.1,2.2,2023-2024
Josh Cullen,IRL,['MF'],Burnley,27,1996,25,23,"2,057",22.9,2,3,5,2,0,0,9,0,0.6,0.6,1.8,2.4,2023-2024
Matheus Cunha,BRA,"['FW', 'MF']",Wolves,24,1999,32,29,"2,440",27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,2023-2024
Sam Curtis,IRL,['DF'],Sheffield Utd,17,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Mahmoud Dahoud,GER,['MF'],Brighton,27,1996,9,6,452,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,2023-2024
Ameen Al-Dakhil,BEL,['DF'],Burnley,21,2002,13,12,"1,056",11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,2023-2024
Diogo Dalot,POR,['DF'],Manchester Utd,24,1999,36,35,"3,174",35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,2023-2024
Mikkel Damsgaard,DEN,['MF'],Brentford,23,2000,23,7,842,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,2023-2024
Danilo,BRA,['MF'],Nott'ham Forest,22,2001,29,20,"1,792",19.9,2,2,4,2,0,0,4,0,1.8,1.8,1.5,3.4,2023-2024
Arnaut Danjuma,NED,"['MF', 'FW']",Everton,26,1997,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,2023-2024
Jayden Danns,ENG,['FW'],Liverpool,17,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2023-2024
Josh Dasilva,ENG,"['DF', 'FW']",Brentford,24,1998,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2023-2024
David Datro Fofana,CIV,['FW'],Burnley,20,2002,15,10,879,9.8,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.4,2023-2024
Ben Davies,WAL,['DF'],Tottenham,30,1993,17,12,"1,090",12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,2023-2024
Tom Davies,ENG,['MF'],Sheffield Utd,25,1998,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,2023-2024
Craig Dawson,ENG,['DF'],Wolves,33,1990,25,25,"2,209",24.5,1,1,2,1,0,0,7,0,1.5,1.5,1.4,2.9,2023-2024
Kevin De Bruyne,BEL,['MF'],Manchester City,32,1991,18,15,"1,221",13.6,4,10,14,4,0,0,2,0,2.4,2.4,11.5,14.0,2023-2024
Bobby De Cordova-Reid,JAM,['FW'],Fulham,30,1993,33,17,"1,423",15.8,6,2,8,6,0,0,4,0,4.6,4.6,1.8,6.4,2023-2024
Hannes Delcroix,HAI,['DF'],Burnley,24,1999,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2023-2024
Leander Dendoncker,BEL,['MF'],Aston Villa,28,1995,8,1,119,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,2023-2024
Moussa Diaby,FRA,"['FW', 'MF']",Aston Villa,24,1999,38,25,"2,174",24.2,6,8,14,6,0,0,1,0,7.0,7.0,6.6,13.6,2023-2024
Amad Diallo,CIV,"['FW', 'MF']",Manchester Utd,21,2002,9,3,390,4.3,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,2023-2024
Amadou Diallo,ENG,['MF'],Newcastle Utd,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Rúben Dias,POR,['DF'],Manchester City,26,1997,30,28,"2,559",28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,2023-2024
Luis Díaz,COL,['FW'],Liverpool,26,1997,37,32,"2,629",29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,2023-2024
Eric Dier,ENG,['DF'],Tottenham,29,1994,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
